who,pro_com,selectedhospitalemp,selectedhospital,rescale15,distance_threshold,n_network,weight_distance_hospital,weight_ownranking,social_multiplier,show_networks,updaterank_mean,updaterank_sd,emp_net
255,51002,48,63,false,0,50,-10,0,10,false,0,0,false
256,51002,48,58,false,0,50,-10,0,10,false,0,0,false
257,51002,48,60,false,0,50,-10,0,10,false,0,0,false
258,51002,48,63,false,0,50,-10,0,10,false,0,0,false
259,51002,48,58,false,0,50,-10,0,10,false,0,0,false
260,51002,48,48,false,0,50,-10,0,10,false,0,0,false
261,51002,48,48,false,0,50,-10,0,10,false,0,0,false
262,51002,48,61,false,0,50,-10,0,10,false,0,0,false
263,51002,48,50,false,0,50,-10,0,10,false,0,0,false
264,51002,48,61,false,0,50,-10,0,10,false,0,0,false
265,51002,48,61,false,0,50,-10,0,10,false,0,0,false
266,51002,48,60,false,0,50,-10,0,10,false,0,0,false
267,51002,48,63,false,0,50,-10,0,10,false,0,0,false
268,51002,48,63,false,0,50,-10,0,10,false,0,0,false
269,51002,48,61,false,0,50,-10,0,10,false,0,0,false
270,51002,48,61,false,0,50,-10,0,10,false,0,0,false
271,51002,48,48,false,0,50,-10,0,10,false,0,0,false
272,51002,48,58,false,0,50,-10,0,10,false,0,0,false
273,51002,48,63,false,0,50,-10,0,10,false,0,0,false
274,51002,48,48,false,0,50,-10,0,10,false,0,0,false
275,51002,48,61,false,0,50,-10,0,10,false,0,0,false
276,51002,48,63,false,0,50,-10,0,10,false,0,0,false
277,51002,48,50,false,0,50,-10,0,10,false,0,0,false
278,51002,48,63,false,0,50,-10,0,10,false,0,0,false
279,51002,48,60,false,0,50,-10,0,10,false,0,0,false
280,51002,48,48,false,0,50,-10,0,10,false,0,0,false
281,51002,48,48,false,0,50,-10,0,10,false,0,0,false
282,51002,48,48,false,0,50,-10,0,10,false,0,0,false
283,51002,48,60,false,0,50,-10,0,10,false,0,0,false
284,51002,48,48,false,0,50,-10,0,10,false,0,0,false
285,51002,48,48,false,0,50,-10,0,10,false,0,0,false
286,51002,48,63,false,0,50,-10,0,10,false,0,0,false
287,51002,48,63,false,0,50,-10,0,10,false,0,0,false
288,51002,48,61,false,0,50,-10,0,10,false,0,0,false
289,51002,48,60,false,0,50,-10,0,10,false,0,0,false
290,51002,48,48,false,0,50,-10,0,10,false,0,0,false
291,51002,48,48,false,0,50,-10,0,10,false,0,0,false
292,51002,48,48,false,0,50,-10,0,10,false,0,0,false
293,51002,48,60,false,0,50,-10,0,10,false,0,0,false
294,51002,48,48,false,0,50,-10,0,10,false,0,0,false
295,51002,48,60,false,0,50,-10,0,10,false,0,0,false
296,51002,48,60,false,0,50,-10,0,10,false,0,0,false
297,51002,48,50,false,0,50,-10,0,10,false,0,0,false
298,51002,48,50,false,0,50,-10,0,10,false,0,0,false
299,51002,48,58,false,0,50,-10,0,10,false,0,0,false
300,51002,48,48,false,0,50,-10,0,10,false,0,0,false
301,51002,48,50,false,0,50,-10,0,10,false,0,0,false
302,51002,48,61,false,0,50,-10,0,10,false,0,0,false
303,51002,48,63,false,0,50,-10,0,10,false,0,0,false
304,51002,48,63,false,0,50,-10,0,10,false,0,0,false
305,51002,48,50,false,0,50,-10,0,10,false,0,0,false
306,51002,48,60,false,0,50,-10,0,10,false,0,0,false
307,51002,48,63,false,0,50,-10,0,10,false,0,0,false
308,51002,48,63,false,0,50,-10,0,10,false,0,0,false
309,51002,48,50,false,0,50,-10,0,10,false,0,0,false
