48028,61,43,121,21,24,49,96,24,45,34,9,34,43,68,43,75,27,33,72
48030,64,56,133,28,37,41,87,34,49,25,21,42,55,80,56,87,30,36,84
48031,105,112,190,61,93,98,144,64,89,82,77,73,89,108,112,121,67,76,113
48032,48,83,160,29,64,61,107,42,32,45,48,51,67,86,83,99,19,18,91
48033,46,78,156,25,59,56,103,38,31,41,44,46,63,82,78,95,15,17,87
48035,40,80,158,37,61,58,108,40,24,42,45,48,65,84,80,97,25,11,89
48036,39,79,157,36,60,57,104,39,23,42,45,47,64,83,79,96,17,8,88
48037,50,83,161,28,64,61,107,43,34,45,48,51,68,87,83,100,19,21,92
48038,49,58,136,18,39,33,79,26,34,17,23,34,51,70,58,83,15,21,75
48039,68,108,185,55,89,79,125,59,52,63,73,68,84,103,108,116,41,39,108
48041,52,58,136,10,39,43,89,20,36,27,24,29,45,64,58,78,18,23,70
48043,57,63,142,14,45,50,96,14,41,34,30,22,39,58,59,71,23,29,63
48044,57,56,134,17,37,50,96,20,41,34,22,29,45,64,56,77,23,29,69
48046,64,82,160,19,63,68,114,34,49,52,48,43,59,78,80,91,25,39,83
48049,66,92,170,39,73,78,124,44,50,62,58,53,69,88,92,101,42,36,93
48050,76,48,126,36,29,63,120,33,60,46,12,29,37,56,48,69,42,48,61
48052,32,72,150,29,53,51,97,32,17,35,38,41,57,76,73,89,17,0,81
48053,76,83,161,31,64,69,115,35,60,53,48,43,60,79,80,92,42,47,84
48054,55,68,146,24,49,29,75,31,39,13,34,40,56,75,68,88,21,27,81
49001,117,40,72,77,44,71,65,82,101,63,59,74,52,59,44,85,83,89,63
49002,140,54,52,91,58,93,49,96,115,87,73,88,66,74,58,101,97,103,77
49003,192,114,21,151,117,146,102,155,178,147,132,147,125,133,117,160,157,162,136
49004,185,107,19,144,110,139,96,148,171,140,125,141,118,126,110,153,150,156,129
49005,185,86,181,145,111,172,175,145,169,155,126,137,115,123,107,150,151,156,126
49006,126,50,66,87,53,104,59,91,111,82,68,83,61,69,53,96,93,98,72
49007,111,34,71,71,37,74,64,76,95,66,53,68,45,53,38,79,77,83,56
49008,92,17,95,52,19,80,88,58,76,64,34,54,32,40,20,66,58,64,43
49009,100,0,98,60,27,89,91,61,84,72,42,53,31,39,23,64,66,72,42
49010,201,123,29,159,126,155,111,164,187,155,141,156,134,142,126,169,165,171,145
49011,194,115,22,152,118,147,104,157,180,148,134,149,127,134,119,161,158,164,137
49012,143,65,40,102,68,97,52,106,129,98,83,98,76,84,68,111,108,113,87
49013,180,102,21,139,105,134,89,143,166,135,120,136,113,121,105,148,145,150,124
49014,177,99,0,135,102,131,86,140,163,131,117,132,110,118,102,145,141,147,122
49017,107,25,77,67,34,79,70,72,91,79,49,64,42,50,34,75,73,79,53
49018,125,48,57,85,51,94,50,89,109,80,66,81,59,67,51,94,91,97,70
49019,132,56,74,92,59,104,59,97,116,83,74,89,67,75,59,102,98,104,78
49020,139,65,56,102,68,93,48,107,125,81,84,99,76,84,69,111,108,114,87
49021,172,93,20,130,96,125,80,135,158,126,112,127,105,112,97,139,136,142,115
50001,87,32,109,47,8,75,102,41,71,59,29,33,28,47,24,55,53,59,51
50002,91,31,109,52,12,81,101,44,75,64,34,36,25,49,25,54,57,63,54
50003,100,28,105,60,17,88,98,52,84,71,41,44,20,43,13,53,66,71,46
50004,84,29,107,44,5,73,99,45,68,56,26,37,31,47,22,59,50,56,50
50005,89,29,107,49,14,69,100,55,74,51,31,50,46,54,29,73,55,61,57
50006,117,40,77,77,44,68,69,82,101,60,59,74,52,59,44,85,83,89,63
50008,91,23,101,51,9,79,94,49,75,62,32,42,33,41,17,67,57,62,44
