who,timeatbirth,pro_com,selectedhospitalemp,name_selectedhospitalemp,selectedhospital,name_selectedhospital,rankinglist,rescale15,distance_threshold,n_network,weight_distance_hospital,weight_ownranking,social_multiplier,show_networks,updaterank_mean,updaterank_sd,emp_net
107,3036,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 1] [50 0.93037926410581] [49 -0.9733483006479935] [57 0.02841427789010842] [70 -0.6612228370969574] [51 0] [52 0] [53 0] [54 0] [55 0] [56 0] [58 0] [59 0] [60 0] [61 0] [62 0] [63 0] [64 0] [65 0] [66 0] [67 0] [68 0] [69 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
108,1789,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[50 0.8047710917937682] [65 0.1117128938995729] [51 0.46738859142125067] [52 -1] [49 -0.8788603792772908] [48 -0.22272416929305922] [53 0] [54 0] [55 0] [56 0] [57 0] [58 0] [59 0] [60 0] [61 0] [62 0] [63 0] [64 0] [66 0] [67 0] [68 0] [69 0] [70 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
109,2784,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 0.47560624271667956] [50 1] [49 -0.9656597747116303] [57 -0.34007980805906424] [70 -0.9853871554648805] [51 0] [52 0] [53 0] [54 0] [55 0] [56 0] [58 0] [59 0] [60 0] [61 0] [62 0] [63 0] [64 0] [65 0] [66 0] [67 0] [68 0] [69 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
110,2731,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 0.689529891217346] [61 0.7907344793684102] [49 -1] [71 -1] [70 -0.8305133709128534] [50 0] [51 0] [52 0] [53 0] [54 0] [55 0] [56 0] [57 0] [58 0] [59 0] [60 0] [62 0] [63 0] [64 0] [65 0] [66 0] [67 0] [68 0] [69 0]]}},true,90,46,-10,5,10,true,0,0.25,false
111,1430,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 1] [49 -1] [69 0.10239840766704873] [67 -0.29548522534829097] [70 -0.8061730985051623] [50 0] [51 0] [52 0] [53 0] [54 0] [55 0] [56 0] [57 0] [58 0] [59 0] [60 0] [61 0] [62 0] [63 0] [64 0] [65 0] [66 0] [68 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
112,1490,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 1] [52 -0.8038811226326331] [49 -0.9628657190082506] [55 0.40856019434590896] [64 0.5399973487112402] [50 0] [51 0] [53 0] [54 0] [56 0] [57 0] [58 0] [59 0] [60 0] [61 0] [62 0] [63 0] [65 0] [66 0] [67 0] [68 0] [69 0] [70 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
113,2439,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 1] [50 1] [52 -0.919083189811809] [49 -1] [55 0.7404032136846004] [51 0] [53 0] [54 0] [56 0] [57 0] [58 0] [59 0] [60 0] [61 0] [62 0] [63 0] [64 0] [65 0] [66 0] [67 0] [68 0] [69 0] [70 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
114,1728,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 0.7374628673150636] [51 0.5494062616771024] [49 -0.8140602207689538] [55 0.5017056187743288] [56 0.5121292598002762] [50 0] [52 0] [53 0] [54 0] [57 0] [58 0] [59 0] [60 0] [61 0] [62 0] [63 0] [64 0] [65 0] [66 0] [67 0] [68 0] [69 0] [70 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
115,2655,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 1] [49 -1] [63 1] [57 -0.15222679715752319] [56 0.4548164344081981] [50 0] [51 0] [52 0] [53 0] [54 0] [55 0] [58 0] [59 0] [60 0] [61 0] [62 0] [64 0] [65 0] [66 0] [67 0] [68 0] [69 0] [70 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
116,2492,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 1] [51 0.4931601844362444] [64 0.4303166900685027] [63 0.9954599833402153] [67 -0.3146794893482281] [49 0] [50 0] [52 0] [53 0] [54 0] [55 0] [56 0] [57 0] [58 0] [59 0] [60 0] [61 0] [62 0] [65 0] [66 0] [68 0] [69 0] [70 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
117,49,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 0.771299958560653] [49 -0.9452042088103307] [60 0.7754298495372877] [57 0.05714330979595582] [70 -0.3752070472893839] [50 0] [51 0] [52 0] [53 0] [54 0] [55 0] [56 0] [58 0] [59 0] [61 0] [62 0] [63 0] [64 0] [65 0] [66 0] [67 0] [68 0] [69 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
118,314,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 1] [54 -1] [61 0.8320840222122603] [52 -1] [69 -0.4027839834867664] [49 0] [50 0] [51 0] [53 0] [55 0] [56 0] [57 0] [58 0] [59 0] [60 0] [62 0] [63 0] [64 0] [65 0] [66 0] [67 0] [68 0] [70 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
119,1276,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 0.7695977764314915] [65 0.4077468499319289] [51 0.23253926999854252] [49 -1] [64 0.0816802943488798] [50 0] [52 0] [53 0] [54 0] [55 0] [56 0] [57 0] [58 0] [59 0] [60 0] [61 0] [62 0] [63 0] [66 0] [67 0] [68 0] [69 0] [70 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
120,468,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 1] [51 0.14985649336613738] [53 0.018058905449227756] [55 0.9274697875315738] [70 -0.9305847091172232] [49 0] [50 0] [52 0] [54 0] [56 0] [57 0] [58 0] [59 0] [60 0] [61 0] [62 0] [63 0] [64 0] [65 0] [66 0] [67 0] [68 0] [69 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
121,89,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 0.5986976755772611] [50 1] [61 0.7717551692737744] [49 -1] [60 0.8905583397612519] [51 0] [52 0] [53 0] [54 0] [55 0] [56 0] [57 0] [58 0] [59 0] [62 0] [63 0] [64 0] [65 0] [66 0] [67 0] [69 0] [70 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
122,2991,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 1] [53 -0.002948898767239648] [54 -0.8616164836973503] [70 -0.9648029839678716] [56 0.46534789142653976] [49 0] [50 0] [51 0] [52 0] [55 0] [57 0] [58 0] [59 0] [60 0] [61 0] [62 0] [63 0] [64 0] [65 0] [66 0] [67 0] [68 0] [69 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
123,2201,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 0.907753544183779] [50 0.9655821016525441] [54 -1] [63 1] [56 0.603073516475285] [49 0] [51 0] [52 0] [53 0] [55 0] [57 0] [58 0] [59 0] [60 0] [61 0] [62 0] [64 0] [65 0] [66 0] [67 0] [68 0] [69 0] [70 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
124,2051,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 0.9615205433718085] [49 -0.886749459167042] [63 1] [60 1] [70 -0.6712733471303574] [50 0] [51 0] [52 0] [53 0] [54 0] [55 0] [56 0] [57 0] [58 0] [59 0] [61 0] [62 0] [64 0] [65 0] [66 0] [67 0] [68 0] [69 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
125,2440,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 0.5867230030963135] [61 0.8887284012732062] [49 -1] [60 1] [57 -0.1315824192512221] [50 0] [51 0] [52 0] [53 0] [54 0] [55 0] [56 0] [58 0] [59 0] [62 0] [63 0] [64 0] [65 0] [66 0] [67 0] [68 0] [69 0] [70 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
126,2208,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 0.9314461754253376] [52 -1] [49 -0.9383992206831623] [60 1] [57 0.4091764910037129] [50 0] [51 0] [53 0] [54 0] [55 0] [56 0] [58 0] [59 0] [61 0] [62 0] [63 0] [64 0] [65 0] [66 0] [67 0] [68 0] [69 0] [70 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
127,3109,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 0.1495626754968528] [51 0.35700014988368584] [49 -0.8668404453762847] [64 0.34199484865105434] [60 1] [50 0] [52 0] [53 0] [54 0] [55 0] [56 0] [57 0] [58 0] [59 0] [61 0] [62 0] [63 0] [65 0] [66 0] [67 0] [68 0] [69 0] [70 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
128,1896,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 0.7538548708313126] [53 0.18681478176985575] [52 -1] [49 -1] [57 -0.15838128590097522] [50 0] [51 0] [54 0] [55 0] [56 0] [58 0] [59 0] [60 0] [61 0] [62 0] [63 0] [64 0] [65 0] [66 0] [67 0] [68 0] [69 0] [70 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
129,3425,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 0.6883020485333111] [54 -0.5544946542113196] [60 1] [67 0.2016320130065108] [70 -0.8877278605816091] [49 0] [50 0] [51 0] [52 0] [53 0] [55 0] [56 0] [57 0] [58 0] [59 0] [61 0] [62 0] [63 0] [64 0] [65 0] [66 0] [68 0] [69 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
130,1782,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 0.27644422098651855] [54 -0.6141226508064703] [55 0.5769149073113112] [63 1] [59 0.6924594261166794] [49 0] [50 0] [51 0] [52 0] [53 0] [56 0] [57 0] [58 0] [60 0] [61 0] [62 0] [64 0] [65 0] [66 0] [67 0] [68 0] [69 0] [70 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
